year	year_id	division_id	team_id	team_name	jersey_number	player_id	player_name	player_url	class_year	gp	gs	gp	gs	Goals	Assists	Points	Shots	Shot PCT	SOG	SOG PCT	GWG	EMO G	Man-Down G	GB	TO	CT	FOW	FOs Taken	FO%	Pen	Pen Time	GGP	GGS	G Min	Goals Allowed	GAA	Saves	Save Pct	RC	YC	Clears Suc	Clears Att	Clear Pct
2016	12380	1	81	Bryant	92	1753877	Vailas, Mike	http://stats.ncaa.org/player?game_sport_year_ctl_id=12380&stats_player_seq=1753877	Fr	1	0	1	 	 	 	0	 	""	 	""	 	 	 	1	 	 	 	""	""	1	60	 	 	 	""	""	 	""	 	 	 	 	""
2016	12380	1	81	Bryant	40	1303938	Waldt, Gunnar	http://stats.ncaa.org/player?game_sport_year_ctl_id=12380&stats_player_seq=1303938	Sr	1	1	1	1	 	 	0	 	""	 	""	 	 	 	1	 	 	 	""	""	 	 	1	1	3,322	2	2.167	7	0.778	 	 	 	 	""
2016	12380	1	81	Bryant	13	1427055	Gantz, Collins	http://stats.ncaa.org/player?game_sport_year_ctl_id=12380&stats_player_seq=1427055	Sr	1	1	1	1	 	 	0	7	""	1	0.143	 	 	 	1	1	 	 	""	""	 	 	 	 	 	""	""	 	""	 	 	 	 	""
2016	12380	1	81	Bryant	37	1427056	Gould, William	http://stats.ncaa.org/player?game_sport_year_ctl_id=12380&stats_player_seq=1427056	Sr	1	0	1	 	 	 	0	 	""	 	""	 	 	 	 	1	 	 	""	""	 	 	 	 	 	""	""	 	""	 	 	 	 	""
2016	12380	1	81	Bryant	45	1427060	Marx, Joe	http://stats.ncaa.org/player?game_sport_year_ctl_id=12380&stats_player_seq=1427060	Sr	1	0	1	 	 	 	0	 	""	 	""	 	 	 	 	 	 	 	""	""	 	 	 	 	 	""	""	 	""	 	 	 	 	""
2016	12380	1	81	Bryant	32	1427061	O'Donnell, Cody	http://stats.ncaa.org/player?game_sport_year_ctl_id=12380&stats_player_seq=1427061	Jr	1	0	1	 	 	 	0	1	""	1	1.000	 	 	 	4	 	1	 	""	""	 	 	 	 	 	""	""	 	""	 	 	 	 	""
2016	12380	1	81	Bryant	48	1427062	Micciche, Zack	http://stats.ncaa.org/player?game_sport_year_ctl_id=12380&stats_player_seq=1427062	Sr	1	0	1	 	 	 	0	 	""	 	""	 	 	 	 	 	 	 	""	""	 	 	 	 	 	""	""	 	""	 	 	 	 	""
2016	12380	1	81	Bryant	43	1427063	O'Keefe, Sean	http://stats.ncaa.org/player?game_sport_year_ctl_id=12380&stats_player_seq=1427063	Sr	1	0	1	 	 	 	0	 	""	 	""	 	 	 	 	 	 	 	""	""	 	 	 	 	 	""	""	 	""	 	 	 	 	""
2016	12380	1	81	Bryant	21	1536208	Baker, Brett	http://stats.ncaa.org/player?game_sport_year_ctl_id=12380&stats_player_seq=1536208	Jr	1	0	1	 	1	 	1	2	0.500	2	1.000	 	 	 	 	 	 	 	""	""	 	 	 	 	 	""	""	 	""	 	 	 	 	""
2016	12380	1	81	Bryant	12	1536210	Herman, Spencer	http://stats.ncaa.org/player?game_sport_year_ctl_id=12380&stats_player_seq=1536210	Jr	1	0	1	 	 	 	0	1	""	 	""	 	 	 	 	 	 	 	""	""	 	 	 	 	 	""	""	 	""	 	 	 	 	""
2016	12380	1	81	Bryant	1	1536211	James, Tucker	http://stats.ncaa.org/player?game_sport_year_ctl_id=12380&stats_player_seq=1536211	Jr	1	1	1	1	2	2	4	9	0.222	3	0.333	 	 	 	2	1	 	 	""	""	 	 	 	 	 	""	""	 	""	 	 	 	 	""
2016	12380	1	81	Bryant	6	1536212	Kaden, Jared	http://stats.ncaa.org/player?game_sport_year_ctl_id=12380&stats_player_seq=1536212	Jr	1	0	1	 	 	 	0	1	""	 	""	 	 	 	1	 	 	 	""	""	 	 	 	 	 	""	""	 	""	 	 	 	 	""
2016	12380	1	81	Bryant	31	1536213	Massa, Kenny	http://stats.ncaa.org/player?game_sport_year_ctl_id=12380&stats_player_seq=1536213	So	1	0	1	 	 	1	1	1	""	1	1.000	 	 	 	13	3	 	19	22	0.864	 	 	 	 	 	""	""	 	""	 	 	 	 	""
2016	12380	1	81	Bryant	29	1536214	McEneaney, Pearse	http://stats.ncaa.org/player?game_sport_year_ctl_id=12380&stats_player_seq=1536214	Jr	1	0	1	 	 	 	0	1	""	1	1.000	 	 	 	 	1	 	 	""	""	 	 	 	 	 	""	""	 	""	 	 	 	 	""
2016	12380	1	81	Bryant	22	1536215	Montero, Will	http://stats.ncaa.org/player?game_sport_year_ctl_id=12380&stats_player_seq=1536215	Jr	1	0	1	 	 	 	0	 	""	 	""	 	 	 	 	 	 	 	""	""	 	 	 	 	 	""	""	 	""	 	 	 	 	""
2016	12380	1	81	Bryant	17	1536216	Mummau, Kyle	http://stats.ncaa.org/player?game_sport_year_ctl_id=12380&stats_player_seq=1536216	Jr	1	1	1	1	 	 	0	 	""	 	""	 	 	 	 	 	 	 	""	""	1	60	 	 	 	""	""	 	""	 	 	 	 	""
2016	12380	1	81	Bryant	2	1536217	Seuffert, Graham	http://stats.ncaa.org/player?game_sport_year_ctl_id=12380&stats_player_seq=1536217	Jr	1	0	1	 	 	 	0	 	""	 	""	 	 	 	 	 	 	1	1	1.000	 	 	 	 	 	""	""	 	""	 	 	 	 	""
2016	12380	1	81	Bryant	20	1536218	Sharpe, Ryan	http://stats.ncaa.org/player?game_sport_year_ctl_id=12380&stats_player_seq=1536218	Jr	1	1	1	1	4	2	6	5	0.800	5	1.000	1	1	 	1	 	 	 	""	""	 	 	 	 	 	""	""	 	""	 	 	 	 	""
2016	12380	1	81	Bryant	35	1536219	South, Chas	http://stats.ncaa.org/player?game_sport_year_ctl_id=12380&stats_player_seq=1536219	So	1	1	1	1	 	 	0	 	""	 	""	 	 	 	2	 	1	 	""	""	 	 	 	 	 	""	""	 	""	 	 	 	 	""
2016	12380	1	81	Bryant	7	1536220	Tufano, Mike	http://stats.ncaa.org/player?game_sport_year_ctl_id=12380&stats_player_seq=1536220	Jr	1	0	1	 	 	 	0	 	""	 	""	 	 	 	 	 	 	 	""	""	 	 	 	 	 	""	""	 	""	 	 	 	 	""
2016	12380	1	81	Bryant	14	1647367	Bovich, Trevor	http://stats.ncaa.org/player?game_sport_year_ctl_id=12380&stats_player_seq=1647367	So	1	0	1	 	1	 	1	2	0.500	2	1.000	 	 	 	1	 	 	 	""	""	 	 	 	 	 	""	""	 	""	 	 	 	 	""
2016	12380	1	81	Bryant	33	1647368	Chandler, Jake	http://stats.ncaa.org/player?game_sport_year_ctl_id=12380&stats_player_seq=1647368	So	1	0	1	 	 	 	0	 	""	 	""	 	 	 	 	 	 	 	""	""	 	 	 	 	 	""	""	 	""	 	 	 	 	""
2016	12380	1	81	Bryant	24	1647369	Cornell, Kyle	http://stats.ncaa.org/player?game_sport_year_ctl_id=12380&stats_player_seq=1647369	So	1	0	1	 	 	 	0	2	""	 	""	 	 	 	1	1	1	 	""	""	 	 	 	 	 	""	""	 	""	 	 	 	 	""
2016	12380	1	81	Bryant	5	1647371	Hallmark, Nick	http://stats.ncaa.org/player?game_sport_year_ctl_id=12380&stats_player_seq=1647371	So	1	0	1	 	 	 	0	3	""	2	0.667	 	 	 	 	1	 	 	""	""	 	 	 	 	 	""	""	 	""	 	 	 	 	""
2016	12380	1	81	Bryant	55	1647372	Johnson, Anthony	http://stats.ncaa.org/player?game_sport_year_ctl_id=12380&stats_player_seq=1647372	So	1	1	1	1	 	 	0	1	""	1	1.000	 	 	 	5	2	2	 	""	""	 	 	 	 	 	""	""	 	""	 	 	 	 	""
2016	12380	1	81	Bryant	4	1647373	Kennedy, Tom	http://stats.ncaa.org/player?game_sport_year_ctl_id=12380&stats_player_seq=1647373	So	1	1	1	1	1	 	1	2	0.500	2	1.000	 	 	 	1	 	 	 	""	""	 	 	 	 	 	""	""	 	""	 	 	 	 	""
2016	12380	1	81	Bryant	3	1647375	O'Donnell, Brady	http://stats.ncaa.org/player?game_sport_year_ctl_id=12380&stats_player_seq=1647375	Fr	1	1	1	1	2	2	4	2	1.000	2	1.000	 	 	 	3	1	 	 	""	""	 	 	 	 	 	""	""	 	""	 	 	 	 	""
2016	12380	1	81	Bryant	25	1647380	Vailas, Tom	http://stats.ncaa.org/player?game_sport_year_ctl_id=12380&stats_player_seq=1647380	So	1	0	1	 	 	 	0	 	""	 	""	 	 	 	 	1	 	 	""	""	 	 	 	 	 	""	""	 	""	 	 	 	 	""
2016	12380	1	81	Bryant	38	1647381	Werner, James	http://stats.ncaa.org/player?game_sport_year_ctl_id=12380&stats_player_seq=1647381	So	1	0	1	 	 	 	0	 	""	 	""	 	 	 	 	 	 	 	""	""	 	 	1	 	278	1	12.950	 	""	 	 	 	 	""
2016	12380	1	81	Bryant	44	1647382	Ziegler, Cam	http://stats.ncaa.org/player?game_sport_year_ctl_id=12380&stats_player_seq=1647382	So	1	1	1	1	4	2	6	8	0.500	7	0.875	 	1	 	1	2	 	 	""	""	 	 	 	 	 	""	""	 	""	 	 	 	 	""
2016	12380	1	81	Bryant	18	1647383	Forsberg, Tom	http://stats.ncaa.org/player?game_sport_year_ctl_id=12380&stats_player_seq=1647383	Jr	1	0	1	 	 	3	3	3	""	1	0.333	 	 	 	 	 	 	 	""	""	 	 	 	 	 	""	""	 	""	 	 	 	 	""
2016	12380	1	81	Bryant	23	1753866	Buonaiuto, Jake	http://stats.ncaa.org/player?game_sport_year_ctl_id=12380&stats_player_seq=1753866	Fr	1	0	1	 	 	 	0	2	""	1	0.500	 	 	 	 	1	 	 	""	""	 	 	 	 	 	""	""	 	""	 	 	 	 	""
2016	12380	1	81	Bryant	11	1753867	Cerino, Ryan	http://stats.ncaa.org/player?game_sport_year_ctl_id=12380&stats_player_seq=1753867	Fr	1	0	1	 	 	 	0	 	""	 	""	 	 	 	 	 	 	 	""	""	 	 	 	 	 	""	""	 	""	 	 	 	 	""
2016	12380	1	81	Bryant	8	1753870	Finneran, Luke	http://stats.ncaa.org/player?game_sport_year_ctl_id=12380&stats_player_seq=1753870	Fr	1	0	1	 	 	 	0	 	""	 	""	 	 	 	1	 	 	 	""	""	 	 	 	 	 	""	""	 	""	 	 	 	 	""
2016	12380	1	81	Bryant	19	1753871	Hamernick, Will	http://stats.ncaa.org/player?game_sport_year_ctl_id=12380&stats_player_seq=1753871	Fr	1	0	1	 	 	 	0	 	""	 	""	 	 	 	 	 	 	 	""	""	 	 	 	 	 	""	""	 	""	 	 	 	 	""
2016	12380	1	81	Bryant	58	1753874	Quigley, Kevin	http://stats.ncaa.org/player?game_sport_year_ctl_id=12380&stats_player_seq=1753874	Fr	1	0	1	 	1	 	1	2	0.500	1	0.500	 	 	 	1	 	 	 	""	""	 	 	 	 	 	""	""	 	""	 	 	 	 	""
2016	12380	1	81	Bryant	27	1753875	Remshardt, Gabe	http://stats.ncaa.org/player?game_sport_year_ctl_id=12380&stats_player_seq=1753875	Fr	1	0	1	 	 	 	0	 	""	 	""	 	 	 	 	 	 	 	""	""	 	 	 	 	 	""	""	 	""	 	 	 	 	""
2016	12380	1	244	Furman	47	1764116	Widhelm, Parker	http://stats.ncaa.org/player?game_sport_year_ctl_id=12380&stats_player_seq=1764116	Fr	1	1	1	1	 	 	0	 	""	 	""	 	 	 	1	 	 	 	""	""	 	 	 	 	 	""	""	 	""	 	 	 	 	""
2016	12380	1	244	Furman	4	1536860	Geran, Matt	http://stats.ncaa.org/player?game_sport_year_ctl_id=12380&stats_player_seq=1536860	Jr	1	0	1	 	 	 	0	 	""	 	""	 	 	 	 	 	 	 	""	""	 	 	 	 	 	""	""	 	""	 	 	 	 	""
2016	12380	1	244	Furman	9	1536861	Vandenberg, Jon	http://stats.ncaa.org/player?game_sport_year_ctl_id=12380&stats_player_seq=1536861	Jr	1	0	1	 	 	 	0	 	""	 	""	 	 	 	1	 	2	 	""	""	 	 	 	 	 	""	""	 	""	 	 	 	 	""
2016	12380	1	244	Furman	12	1536867	Blaze, Hil	http://stats.ncaa.org/player?game_sport_year_ctl_id=12380&stats_player_seq=1536867	Jr	1	0	1	 	1	 	1	1	1.000	1	1.000	 	 	 	3	 	 	5	17	0.294	 	 	 	 	 	""	""	 	""	 	 	 	 	""
2016	12380	1	244	Furman	15	1536870	Kane, Justin	http://stats.ncaa.org/player?game_sport_year_ctl_id=12380&stats_player_seq=1536870	Jr	1	0	1	 	 	 	0	 	""	 	""	 	 	 	 	 	 	 	""	""	 	 	 	 	 	""	""	 	""	 	 	 	 	""
2016	12380	1	244	Furman	16	1536871	Hancock, Chase	http://stats.ncaa.org/player?game_sport_year_ctl_id=12380&stats_player_seq=1536871	Jr	1	0	1	 	1	 	1	2	0.500	1	0.500	 	 	 	 	 	 	 	""	""	 	 	 	 	 	""	""	 	""	 	 	 	 	""
2016	12380	1	244	Furman	57	1536878	Courtney, Kyle	http://stats.ncaa.org/player?game_sport_year_ctl_id=12380&stats_player_seq=1536878	Jr	1	0	1	 	 	 	0	 	""	 	""	 	 	 	 	1	 	 	""	""	 	 	 	 	 	""	""	 	""	 	 	 	 	""
2016	12380	1	244	Furman	24	1536879	McDaid, J.J.	http://stats.ncaa.org/player?game_sport_year_ctl_id=12380&stats_player_seq=1536879	Jr	1	0	1	 	 	 	0	 	""	 	""	 	 	 	 	1	1	 	""	""	 	 	 	 	 	""	""	 	""	 	 	 	 	""
2016	12380	1	244	Furman	27	1536882	Reilly, Patrick	http://stats.ncaa.org/player?game_sport_year_ctl_id=12380&stats_player_seq=1536882	Jr	1	0	1	 	 	 	0	 	""	 	""	 	 	 	1	 	1	 	""	""	1	60	 	 	 	""	""	 	""	 	 	 	 	""
2016	12380	1	244	Furman	33	1536886	Yetman, Ben	http://stats.ncaa.org/player?game_sport_year_ctl_id=12380&stats_player_seq=1536886	Jr	1	0	1	 	 	 	0	 	""	 	""	 	 	 	1	1	 	 	""	""	1	30	 	 	 	""	""	 	""	 	 	 	 	""
2016	12380	1	244	Furman	41	1536890	Lewis, Tim	http://stats.ncaa.org/player?game_sport_year_ctl_id=12380&stats_player_seq=1536890	Jr	1	0	1	 	 	 	0	 	""	 	""	 	 	 	1	 	 	 	""	""	 	 	 	 	 	""	""	 	""	 	 	 	 	""
2016	12380	1	244	Furman	51	1536899	Stone, Joe	http://stats.ncaa.org/player?game_sport_year_ctl_id=12380&stats_player_seq=1536899	Jr	1	1	1	1	 	 	0	 	""	 	""	 	 	 	3	 	1	 	""	""	1	60	 	 	 	""	""	 	""	 	 	 	 	""
2016	12380	1	244	Furman	53	1536901	Primeau, Scott	http://stats.ncaa.org/player?game_sport_year_ctl_id=12380&stats_player_seq=1536901	Jr	1	1	1	1	2	1	3	3	0.667	2	0.667	 	 	 	1	1	1	 	""	""	 	 	 	 	 	""	""	 	""	 	 	 	 	""
2016	12380	1	244	Furman	23	1536905	Farnish, Tommy	http://stats.ncaa.org/player?game_sport_year_ctl_id=12380&stats_player_seq=1536905	Jr	1	1	1	1	 	 	0	 	""	 	""	 	 	 	4	 	 	 	""	""	 	 	 	 	 	""	""	 	""	 	 	 	 	""
2016	12380	1	244	Furman	58	1536906	Kipke, Conner	http://stats.ncaa.org/player?game_sport_year_ctl_id=12380&stats_player_seq=1536906	Jr	1	0	1	 	 	 	0	 	""	 	""	 	 	 	 	 	 	 	""	""	 	 	 	 	 	""	""	 	""	 	 	 	 	""
2016	12380	1	244	Furman	7	1647745	Atkins, Trevor	http://stats.ncaa.org/player?game_sport_year_ctl_id=12380&stats_player_seq=1647745	Sr	1	0	1	 	 	 	0	 	""	 	""	 	 	 	 	1	 	 	""	""	 	 	 	 	 	""	""	 	""	 	 	 	 	""
2016	12380	1	244	Furman	39	1647753	McDermott, Reilly	http://stats.ncaa.org/player?game_sport_year_ctl_id=12380&stats_player_seq=1647753	So	1	1	1	1	 	 	0	 	""	 	""	 	 	 	 	1	 	 	""	""	 	 	1	1	3,600	8	8.000	13	0.619	 	 	 	 	""
2016	12380	1	244	Furman	43	1647756	Deyo, Troy	http://stats.ncaa.org/player?game_sport_year_ctl_id=12380&stats_player_seq=1647756	So	1	0	1	 	 	 	0	1	""	 	""	 	 	 	2	 	 	 	""	""	 	 	 	 	 	""	""	 	""	 	 	 	 	""
2016	12380	1	244	Furman	44	1647757	Moore, Jonah	http://stats.ncaa.org/player?game_sport_year_ctl_id=12380&stats_player_seq=1647757	So	1	1	1	1	2	1	3	3	0.667	2	0.667	 	 	 	 	1	 	 	""	""	 	 	 	 	 	""	""	 	""	 	 	 	 	""
