"team_name"	"total_time_elapsed"
"Brown"	0.384
"Brown"	0.350
"Brown"	0.166
"Brown"	0.567
"Brown"	0.084
"Brown"	0.617
"Brown"	1.033
"Brown"	0.217
"Brown"	0.133
"Brown"	0.250
"Brown"	0.317
"Brown"	0.350
"Brown"	0.117
"Brown"	0.017
"Brown"	0.717
"Brown"	0.983
"Brown"	0.167
"Brown"	1.066
"Brown"	0.816
"Brown"	0.133
"Maryland"	0.033
"Maryland"	0.517
"Maryland"	1.933
"Maryland"	0.700
"Maryland"	0.216
"Brown"	0.500
"Brown"	0.533
"Brown"	0.066
"Brown"	0.700
"Brown"	0.283
"Brown"	0.116
"Brown"	1.450
"Brown"	0.067
"Brown"	1.016
"Brown"	1.017
"Brown"	0.916
"Brown"	0.133
"Brown"	0.300
"Brown"	0.217
"Brown"	0.467
"Brown"	0.750
"Maryland"	1.717
"Maryland"	1.233
"Maryland"	0.000
"Maryland"	0.100
"Brown"	0.867
"Brown"	2.750
"Brown"	1.550
"Brown"	2.933
"Brown"	0.284
"Brown"	1.383
"Brown"	0.150
"Brown"	1.750
"Brown"	0.433
"Brown"	3.967
"Brown"	1.017
"Brown"	0.900
"Brown"	4.233
"Brown"	0.600
"Brown"	0.116
"Brown"	1.367
"Brown"	2.667
"Brown"	2.683
"Brown"	0.000
"Brown"	0.266
"Maryland"	0.883
"Maryland"	1.484
"Maryland"	1.166
"Maryland"	1.034
"Maryland"	1.233
"Maryland"	1.067
"Maryland"	0.966
"Maryland"	1.850
"Maryland"	1.767
"Maryland"	0.434
"Maryland"	1.216
"Maryland"	1.200
"Maryland"	0.117
"Maryland"	0.833
"Maryland"	0.867
"Maryland"	0.100
"Maryland"	0.766
"Maryland"	1.150
"Maryland"	0.850
"Maryland"	0.783
"Maryland"	0.550
"Maryland"	0.833
"Maryland"	0.000
"Maryland"	0.384
"Maryland"	0.933
"Maryland"	0.533
"Maryland"	0.467
"Maryland"	0.933
"Maryland"	1.083
"Brown"	0.616
"Brown"	0.617
"Brown"	0.000
"Brown"	0.333
"Brown"	0.300
"Brown"	1.300
"Brown"	0.933
"Brown"	0.016
"Brown"	0.800
"Brown"	0.833
"Brown"	1.467
"Maryland"	0.600
"Maryland"	1.067
"Maryland"	0.666
"Maryland"	0.967
"Maryland"	0.200
"Maryland"	1.684
"Maryland"	0.217
"Maryland"	1.217
"Maryland"	1.866
"Maryland"	1.383
"Maryland"	1.200
"Maryland"	1.384
"Maryland"	1.216
"Brown"	0.050
"Brown"	0.500
"Brown"	1.033
"Brown"	0.100
"Brown"	0.750
"Brown"	0.433
"Brown"	2.250
"Brown"	0.950
"Brown"	0.567
"Brown"	0.117
"Brown"	1.066
"Brown"	0.034
"Brown"	1.000
"Brown"	1.516
"Brown"	0.950
"Brown"	0.066
"Brown"	0.917
"Brown"	0.133
"Brown"	0.883
"Maryland"	2.033
"Maryland"	0.750
"Maryland"	0.017
"Maryland"	0.217
"Maryland"	0.267
"Maryland"	0.700
"Maryland"	0.000
"Maryland"	0.400
"Maryland"	0.767
"Maryland"	1.650
"Maryland"	1.367
"Maryland"	0.967
"Maryland"	1.084
"Maryland"	1.733
"Maryland"	0.717
"Maryland"	1.067
"Maryland"	0.484
"Maryland"	1.750
"Maryland"	0.750
"Brown"	0.133
"Brown"	0.000
"Brown"	1.316
"Brown"	0.234
"Brown"	0.683
"Brown"	0.133
"Brown"	0.117
"Brown"	0.833
"Brown"	0.967
"Brown"	0.100
"Brown"	0.034
"Brown"	0.383
"Brown"	0.233
"Brown"	0.267
"Brown"	1.233
"Brown"	0.000
"Brown"	0.800
"Brown"	0.667
"Brown"	1.066
"Brown"	0.884
"Brown"	0.100
"Brown"	0.734
"Brown"	1.200
"Brown"	0.133
"Brown"	1.383
"Brown"	3.217
"Brown"	0.133
"Brown"	0.134
"Brown"	0.217
"Brown"	1.383
"Brown"	0.100
"Brown"	1.550
"Brown"	0.850
"Brown"	1.800
"Brown"	1.117
"Brown"	0.333
"Maryland"	0.433
"Maryland"	0.033
"Maryland"	0.616
"Maryland"	1.283
"Maryland"	0.534
"Maryland"	1.316
"Maryland"	0.300
"Maryland"	1.200
"Maryland"	1.183
"Maryland"	1.267
"Maryland"	1.984
"Brown"	0.550
"Brown"	0.850
"Brown"	0.500
"Brown"	0.866
"Brown"	0.300
"Brown"	0.184
"Brown"	0.917
"Brown"	1.016
"Brown"	1.084
"Brown"	0.100
"Brown"	0.117
"Brown"	1.583
"Brown"	0.700
"Brown"	0.350
"Brown"	1.117
"Brown"	0.716
"Brown"	0.250
"Brown"	0.083
"Brown"	0.617
"Brown"	0.284
"Brown"	1.300
"Brown"	0.200
"Maryland"	0.550
"Maryland"	0.033
"Maryland"	1.050
"Maryland"	0.500
"Maryland"	1.083
"Maryland"	0.134
"Maryland"	0.717
"Maryland"	0.750
"Maryland"	0.683
"Maryland"	1.600
"Maryland"	0.000
"Maryland"	1.084
"Maryland"	0.000
"Maryland"	0.684
"Maryland"	1.083
"Brown"	1.450
"Brown"	0.234
"Brown"	0.450
"Brown"	0.800
"Brown"	0.117
"Brown"	0.650
"Brown"	0.450
"Brown"	1.333
"Brown"	0.683
"Brown"	0.667
"Brown"	0.117
"Brown"	1.450
"Brown"	0.034
"Brown"	0.183
"Brown"	0.967
"Brown"	1.500
"Brown"	1.317
"Brown"	0.183
"Brown"	0.550
"Brown"	0.817
"Brown"	0.783
"Brown"	0.150
"Brown"	0.350
"Brown"	1.150
"Brown"	0.333
"Brown"	0.100
"Brown"	0.833
"Brown"	0.000
"Brown"	0.567
"Brown"	0.866
"Brown"	0.800
"Brown"	0.133
"Brown"	0.350
"Brown"	0.850
"Brown"	0.566
"Brown"	0.150
"Brown"	0.133
"Maryland"	1.517
"Maryland"	1.183
"Maryland"	1.584
"Maryland"	0.783
"Maryland"	1.217
"Maryland"	0.950
"Maryland"	0.667
"Maryland"	0.867
"Maryland"	0.800
"Maryland"	3.283
"Maryland"	0.716
"Maryland"	0.650
"Maryland"	1.016
"Maryland"	1.883
"Maryland"	1.867
"Maryland"	0.216
"Maryland"	2.066
"Maryland"	0.000
"Maryland"	1.517
"Maryland"	0.800
"Maryland"	2.967
"Brown"	0.933
"Brown"	0.417
"Brown"	0.517
"Brown"	0.767
"Brown"	0.183
"Brown"	1.167
"Brown"	0.967
"Brown"	1.517
"Brown"	0.767
"Brown"	0.000
"Brown"	1.617
"Brown"	0.600
"Brown"	0.100
"Brown"	0.367
"Brown"	0.100
"Brown"	1.084
"Brown"	1.416
"Brown"	0.167
"Brown"	1.467
"Brown"	1.317
"Brown"	0.584
"Brown"	0.033
"Brown"	0.216
"Brown"	0.067
"Brown"	0.967
"Brown"	1.016
"Brown"	0.700
"Brown"	1.734
"Brown"	0.217
"Brown"	0.867
"Brown"	0.183
"Brown"	0.767
"Brown"	0.083
"Brown"	0.184
"Brown"	0.200
"Brown"	0.283
"Brown"	0.367
"Brown"	0.050
"Brown"	0.100
"Brown"	0.517
"Brown"	0.266
"Brown"	1.867
"Brown"	1.150
"Maryland"	1.033
"Maryland"	0.717
"Maryland"	2.350
"Maryland"	0.766
"Maryland"	2.184
"Maryland"	0.067
"Maryland"	1.500
"Maryland"	2.533
"Maryland"	1.183
"Maryland"	0.450
"Maryland"	1.317
"Brown"	0.100
"Brown"	0.850
"Brown"	0.767
"Brown"	1.567
"Brown"	0.000
"Brown"	0.800
"Brown"	1.967
"Brown"	0.883
"Brown"	0.733
"Brown"	1.867
"Brown"	0.200
"Brown"	0.316
"Brown"	1.100
"Brown"	1.016
"Brown"	0.550
"Brown"	1.250
"Maryland"	0.850
"Maryland"	1.267
"Maryland"	1.533
"Maryland"	0.867
"Maryland"	0.000
"Maryland"	0.967
"Maryland"	1.633
"Maryland"	1.250
"Maryland"	2.984
"Maryland"	2.700
"Maryland"	0.967
"Maryland"	0.000
"Maryland"	1.050
"Maryland"	0.267
"Maryland"	0.683
"Maryland"	1.050
"Maryland"	1.117
"Maryland"	1.433
"Maryland"	0.417
"Maryland"	0.817
"Brown"	0.817
"Brown"	0.483
"Brown"	0.400
"Brown"	0.000
"Brown"	0.250
"Brown"	0.517
"Brown"	0.866
"Brown"	1.000
"Brown"	0.050
"Brown"	1.333
"Brown"	0.734
"Brown"	0.617
"Brown"	0.200
"Brown"	0.450
"Brown"	1.050
"Brown"	1.133
"Maryland"	1.150
"Maryland"	0.333
"Maryland"	0.883
"Maryland"	0.100
"Maryland"	0.650
"Maryland"	0.367
"Maryland"	0.000
"Maryland"	1.850
"Maryland"	0.950
"Maryland"	0.250
"Maryland"	0.716
"Maryland"	0.383
"Maryland"	0.667
"Maryland"	0.966
"Maryland"	1.267
"Maryland"	0.517
"Maryland"	1.050
"Maryland"	1.183
"Maryland"	0.517
"Maryland"	1.067
"Maryland"	1.833
"Maryland"	0.783
"Maryland"	1.200
"Maryland"	1.150
"Maryland"	0.117
"Maryland"	0.000
"Maryland"	1.434
"Maryland"	1.650
"Maryland"	1.383
"Maryland"	0.000
"Brown"	0.000
"Brown"	0.833
"Brown"	0.733
"Brown"	0.400
"Brown"	0.900
"Brown"	0.700
"Brown"	0.767
"Brown"	1.634
"Brown"	0.567
"Brown"	0.783
"Brown"	0.267
"Brown"	1.083
"Brown"	0.534
"Brown"	0.166
"Brown"	1.100
"Brown"	0.834
"Brown"	0.050
"Brown"	1.267
"Brown"	0.117
"Brown"	0.100
"Brown"	0.367
"Brown"	1.217
"Brown"	0.884
"Brown"	0.383
"Brown"	0.100
"Brown"	0.534
"Brown"	0.917
"Brown"	0.000
"Brown"	1.433
"Maryland"	0.000
"Maryland"	1.033
"Maryland"	0.016
"Maryland"	0.600
"Maryland"	1.150
"Maryland"	0.684
"Maryland"	0.450
"Maryland"	0.850
"Maryland"	2.016
"Maryland"	0.850
"Maryland"	0.667
"Maryland"	0.050
"Maryland"	1.383
"Maryland"	0.833
"Maryland"	0.666
"Maryland"	1.450
"Maryland"	1.684
"Maryland"	1.067
"Maryland"	1.750
"Maryland"	0.933
"Maryland"	1.717
"Maryland"	1.766
"Maryland"	0.750
"Maryland"	1.150
"Maryland"	0.117
"Maryland"	1.500
"Brown"	0.217
"Brown"	0.116
"Brown"	1.050
"Brown"	0.233
"Brown"	0.550
"Brown"	1.483
"Brown"	1.500
"Brown"	1.384
"Brown"	1.734
"Brown"	0.733
"Brown"	2.583
